"Module" "Cluster" "Function" "Genes"
"M12.11" "A37" "Erythrocytes" "ALDH5A1, BNIP3L, FAM210B, DNAJA4, VCF1, HBD, HS.105618, HS.291319, ISCA1P1, LOC389293, MPP1, MXI1, PRDX2, RAB2B, RAD23A, RIOK3, RPIA, SIAH2, SLC1A5, TFDP1, TRAK2, GFUS, UBE2O, YOD1"
"M12.12" "A25" "Oxidative stress" "MARCHF1, ADSS2, ARL6IP6, ATP5PB, SFR1, C3ORF38, GOLM2, CDC42SE2, CNBP, CNIH1, OSTC, TVP23B, TVP23C, FNTA, GABPA, LOC390466, LOC643357, LOC644762, LOC647349, LOC649555, LOC652489, LOC653226, LYPLA1, PRDX3, PSMA1, PSMD6, SLC25A40, SUMO2, TNFAIP8, TSNAX, UBA3"
"M12.13" "A24" "Oxidative phosphorylation" "ANAPC11, ATP5PB, ATP5PD, ATP5ME, ATP5PF, ATP5MF, TMEM258, ROMO1, CHCHD2P9, SARNP, COX17, COX5B, COX7B, COX8A, ETFA, CIAO2A, GTF2A2, GTF2F2, LOC644863, LOC647340, LOC650518, MRPL33, MRPS18C, NOL7, NRAS, PLAC8, POLR2F, POMP, PPP2R5C, PSMA1, PSMA4, PSMA6, PSMB1, RPS27L, SEC61B, SLC35B1, SRP14, SRP54, ELOC, TMCO1, TPI1, TMX1, TXNDC17, UBE2E1, UQCRFS1, VPS25, ZNF207"
"M12.14" "A29" "TBD" "FAM177A1, CCR6, DAPP1, FARSB, FLJ41423, GGA1, ITIH5, LILRB3, LOC389517, LOC643509, MGC16703, MSH3, ORC6, PDCD7, PDSS2, RN7SL1, ROCK2, SHCBP1, WDR23, ZNF655"
"M12.15" "A27" "Cell cycle" "ABCB9, CCNB2, CD38, CDC20, CDCA5, JCHAIN, IGLL3P, PCLAF, LOC649923, LOC652775, MZB1, TNFRSF17, TOP2A, TXNDC5, TYMS, UBE2C, UHRF1"
"M12.2" "A26" "Monocytes" "ALDH1A1, ALDH2, NAAA, ASGR1, ASGR2, GASK1B, CARD9, CCR2, CD163, CD300C, CD33, CD36, CD86, CEBPA, ADAP2, CPVL, CSF1R, CTSH, CYBB, CYFIP1, CYP1B1, DPYSL2, S1PR3, EMILIN2, EPB41L3, CPED1, FLVCR2, FZD2, HNMT, IFI30, SHTN1, KLF4, KYNU, LY86, MAFB, MGST1, MS4A6A, MTMR11, PLA2G7, PLXNB2, RNASE4, SLC7A7, TGFBI, VCAN"
"M12.3" "A1" "Cell cycle" "ABCE1, AGK, AKAP11, ANAPC1, BMS1, URI1, ZNHIT6, CCDC6, CDK6, UTP4, DIS3L, DNAJA3, DNAJC10, DPH2, ELP3, ESYT2, FBXO31, MFSD6, KDSR, RALGAPA1, GFM1, GLOD4, GTPBP4, HS.213061, HS.276860, IARS1, PUM3, LANCL1, LOC647346, LPAR5, LPIN1, MAP3K4, MBNL2, NIFK, NKRF, NOC3L, NOL11, NIPAL3, NUP160, NUP205, OGFOD1, ORC5, PPP1R16B, PRMT6, PRPS1, HACD2, RASGRP3, RFC1, SEPHS1, SLC4A7, STAMBPL1, STK39, TP53RK, TTC19, TTC4, UBQLN4, UTP14A, BUD23, WDR4, WDR54, TBC1D31, WWP1, XPO4, ZBTB24, ZBTB14, ZMYND11, ZNF146, ZNF544, ZNF816, ZZZ3"
"M12.4" "A2" "Gene transcription" "AKR7A2, ARHGAP17, ARL2, ASPSCR1, BCKDHA, BRD9, VPS51, C14ORF173, C17ORF61, FAAP100, C19ORF53, CNOT11, RRP36, C7ORF50, CCDC12, COA3, CHMP4A, CPSF4, CXXC1, E4F1, EDC4, EMD, ETFB, EXOSC1, FASTK, GPS1, GTPBP6, HARS1, HCFC1, IDH3B, LOC339123, MCM7, MRPL22, MRPL37, NDUFA8, NENF, SNU13, NT5C, NUDC, PEX16, PLD3, PSMC5, PUF60, QRICH1, RBM14, RCC2, REPIN1, RPP21, SF3A3, SIVA1, SMARCA4, SPNS1, SUSD3, TJAP1, TRAPPC2L, TRPT1, NPRL2, TXLNA, UBAC2, EZR, YARS1, ZDHHC16"
"M12.5" "A3" "Protein modification" "ACBD3, ACVR1, AGGF1, ANGEL2, ANKRD49, AP3M1, APPBP2, ARHGEF7, ASB3, ASNSD1, BAG5, BTBD6, PROSER1, PCNX4, PAXBP1, COA5, TRAPPC11, FAM13B, INTS15, COQ8A, CCDC117, ZNF830, CDK13, CHD8, CLK2, CUL2, DDX23, DENR, DERL1, DMTF1, EIF4G1, ERCC5, PABIR2, KANSL3, FXR1, GMEB2, GNPTG, HEATR5B, HECTD1, HNRNPC, HS.475334, HS.92308, INTS10, ABRAXAS2, WASHC5, KHDC4, KIAA1191, ATOSA, KIAA1712, KLHL9, LASS6, LEMD3, RIMOC1, LOC400027, MACF1, MKRN2, MRPS10, MSH6, STK26, MTIF2, OMA1, PCM1, POLR2B, PRPSAP1, PUM1, RAB22A, RAB3GAP1, REV1, RPS6KB1, SCFD1, SLC30A7, SLC35E1, SLTM, SMARCC1, SMC3, SRRM1, TAF4, TBP, TFAM, TMEM41B, TNPO2, UBE3C, USP16, USP24, VPS36, ZBED5, RBSN, ZNF274, ZSCAN32, ZNF598, ZNF721"
"M12.6" "A1" "T cells" "AXIN2, BCL11B, FAM171A1, CCDC104, CCNB1IP1, CD40LG, ACKR3, NSG1, EEIG1, LRATD2, FBXO32, FCGBP, GPR18, HS.447508, HS.564504, HS.567464, KLHL3, LRRN3, LY9, MAGEE1, MAN1C1, SHISAL2A, NELL2, NMT2, NR3C2, PASK, PLEKHB1, SIDT1, SIRPG, TCEA3, TSEN54, ZNF256, ZNF548"
"M12.7" "A1" "Protein synthesis" "SNHG32, EEF1B2, EEF1G, EIF3L, LOC127295, LOC158345, LOC283345, LOC283412, LOC284821, LOC285053, LOC285900, LOC347292, LOC347544, LOC390354, LOC440737, LOC642989, LOC644029, LOC644511, LOC645688, LOC648622, LOC651436, LOC653232, LOC728481, LOC731985, LOC91561, RPL12, RPL13, RPL13A, RPL17, RPL3, RPS2, RPS4X, RPS5, RTN2, UBA52"
"M12.8" "A1" "B cells" "AFF3, BANK1, BLK, CCR6, CD19, CD72, CD79A, CD79B, COBLL1, CXCR5, E2F5, EBF1, NIBAN3, FCER2, FCRL2, FCRLA, GNG7, HLA-DOA, HLA-DOB, HS.91389, LOC90925, MS4A1, OSBPL10, TCL1A, TSPAN13, VPREB3"
"M12.9" "A38" "Protein phosphorylation" "ANP32B, AP2S1, ATP5F1EP2, MPC2, CARHSP1, CCNI, CHP1, CLCN3, CMAS, CTSB, CYB5R3, EIF1, EIF4EBP2, ERAL1, FEM1A, GNAS, GPS2, HCCA2, HPCAL1, ISCU, KIAA0430, LOC285074, LOC407835, MAP2K2, PCBP2, PIK3R2, SLC66A2, PRDX5, RAB6A, RALBP1, REXO2, RFNG, ST13, STAU1, TBPL1, TRAPPC5, TRIP12, TUBB4B, UBE2D3, UBE2M, VPS28, YY1AP1"
"M13.1" "A35" "Inflammation" "ABTB1, ACAA1, ACSS2, AIF1, ANKRD13A, AOAH, APAF1, ARHGAP9, ARID3A, ATP6V0D1, CSRNP1, CYBC1, RAB5IF, GLIPR2, CAB39, CAPZA2, CASP1, CD300A, CD55, CDKN2D, CHMP2A, CKLF, CLEC12A, CLEC4A, CNIH4, CSNK1D, CYP4F3, DHRS7, E2F3, S1PR4, EHD1, FBXL5, FES, FGR, FKBP1A, FLOT2, FTH1, FTH1P11, FTH1P3, G6PD, GAPDH, GRN, H2BC12, HMGB2, HSPA1B, IFNGR1, IL10RB, IMPDH1, IQGAP1, KIAA1949, LAMP2, LILRA2, LMO2, LOC730744, LRP10, LST1, PLIN3, MAPK1, MAPK3, CYTOR, MIDN, MLKL, MS4A6A, MSRB2, MVP, MYD88, NADK, NBEAL2, NCSTN, NFKBIZ, NOLA3, NOTCH1, NRDC, NABP1, OSTF1, P2RY13, PACSIN2, PADI4, PARP9, PCNX1, PELI1, PELO, PHF21A, PICALM, PLOD1, PPM1M, PPP1R15A, PPP2R5A, PRCP, PRKCD, PTEN, PTPN12, PTPRE, PYCARD, RAB24, RAB32, DENND5A, RARA, RASSF2, RBMS1, RPS6KA1, RXRA, S100A6, SELL, SFXN4, SIGLEC10, SLA, SLC15A3, SLC15A4, SLC31A2, SLC40A1, SLC9A1, SMAP2, SNX27, STAT3, STAT5B, STX10, SYK, TBC1D14, TBL1X, TCIRG1, TIMP1, TKT, TLN1, TMEM91, TNFRSF1B, TNFSF13B, TOM1, TPD52L2, TPST2, TST, TXN, USP3, ZNF106, ZFP36, ZMIZ1, ZYX"
"M13.10" "A2" "Protein synthesis" "ABCF1, ABL1, ADNP, ADPRS, ALAD, ALKBH6, AP1B1, ASB1, ATPAF1, GPN2, AYP1P1, BCL2L12, BLCAP, COX14, KLHL36, PAGR1, INO80C, CZIB, C1ORF2, C1ORF50, CHTOP, ADISSP, C2ORF42, C6ORF136, CHCHD4, CLPP, CTNNBL1, EOLA1, DPAGT1, DYNC1I2, EIF5B, ETFB, DENND6B, SHFL, GMDS, GTF3C6, HMGB1P1, HSCB, ILVBL, KCTD21, HMGXB3, METTL13, LCMT1, LOC389137, LOC728564, LRRC47, MCTS1, MED29, MIF4GD, MRPL20, MRPL22, MRPL27, MRPL36, MRPS11, MRPS16, MTA2, MYL6B, NPSR1, NUP42, PDHA1, PLEKHA8P1, PMM1, PRDM4, PSMC3, RABEPK, RBM4, RNF113A, RUSC1, SARS1, SLC2A6, SNAPC4, SPHK2, STK25, STT3A, STX8, TATDN2, ALYREF, TIMM22, PEDS1, TMEM69, EMC6, TOR3A, TP53I13, TRAF3IP2, TRMT1, TSSC4, ZRSR2, VARS2, ZFAND2A, ZNF362, ZNF511"
"M13.11" "A26" "TBD" "ACTG1, ADIPOR2, ALDH9A1, NAA10, ARF4, ATP6AP2, ATP6V1E1, ATP6V1F, SPTSSA, EMC7, TRMO, ABITRAM, CALM2, CAMLG, CD2BP2, CDC26, CLTB, COMMD5, COPA, DCTN2, DDA1, DERA, DNASE2, DUSP22, DUSP23, ELMO2, FADD, GLTP, GMFB, GOLGA7, GSTO1, GTF2B, H2AZ1, HCP5, HEXB, LOC645317, LOC729466, LOC729776, LSM10, MAPRE1, MED28, TMEM216, MYL12B, MTCH1, NEDD8, NIPA2, NPC2, NSF, PDCD6, PEF1, PHF13, PPP2CA, PPP2R2D, PPP6C, PSMC1, RAB10, RAB9A, RFXANK, RNF181, RNF7, RRAGA, SDHB, SEC11A, SELENOT, SRSF9, SKP1, SLC35A2, SMUG1, SUCLG1, TBCC, THAP1, TM2D3, TMBIM4, TMEM59, TUBA1B, UNC50, VDAC3, WDR20"
"M13.12" "A35" "Inflammation" "ACSL1, ADM, AIM2, ALPL, ANXA3, B4GALT5, USB1, MCEMP1, CYSTM1, CA4, CEACAM1, CLEC4D, CST7, DSC2, DYSF, F5, FCGR1A, FCGR1BP, FOLR3, GYG1, HIST2H2AA3, H2AC20, HK3, HPSE, HS.150808, HS.407903, IL18R1, IL18RAP, IL1RN, IRAK3, KCNJ15, KLHL2, LILRA5, LIMK2, LIN7A, LMNB1, LOC153561, LOC440731, LOC648984, LOC728519, MMP9, NLRC4, PFKFB3, PGS1, PROK2, RGL4, S100A12, SIGLEC5, SIPA1L2, SLC22A4, SLC26A8, TLR5, TNFAIP6, VNN1, ZNF438"
"M13.13" "A2" "Gene transcription" "ACAT2, ALG5, ALG8, ARPC5L, ATP5F1A, ATP5F1C, BOLA2, BOLA3, RTRAF, SNRNP25, CCDC167, GGCT, CCDC34, CCT7, CKS1B, COMMD1, COX5A, CUL1, CYCSL1, DDX39A, DNAJB9, HNRNPAB, HNRNPD, HNRNPA2B1, HSPE1, MRPL58, LOC134997, LOC341457, LOC652595, LOC653505, LYAR, MIF, MRPL39, MRPS21, MRPS28, MTX2, NDUFA12, NDUFAB1, NOP56, GAR1, NHP2, PGRMC2, PPA1, PRIM1, PSMA3, PSMD14, RANBP1, RPA3, RPL26L1, SEM1, SSB, SYNCRIP, ELOC, GLRX3, UCHL3, UTP11, DCTPP1, YWHAQ"
"M13.14" "A2" "Proteolysis" "AKR1A1, ATP1B3, C16ORF61, ATRAID, CASP3, CBLL1, CCDC32, WASHC3, CCDC59, CCDC90B, CDC16, CISD1, CLDND1, CNIH1, COMMD3, CPSF3, CRBN, CWC15, DAP3, DDOST, DHRS4, DIABLO, EIF2B4, EIF4A3, CIAO2B, FIBP, FYTTD1, GGPS1, GRSF1, HAVCR2, HSPA4, IGBP1, LOC653566, LSM3, MED6, MGST3, MITD1, MRPL18, MRPL51, MRPS22, MYCBP2, NARS1, PMPCB, PPP2R5E, PRDX1, PLPBP, PSMA5, PSMB2, PSMC2, PSMD7, HACD2, SCARB2, SDHD, SELENOS, SF3B5, SNRPB2, STOML2, SUB1, SYVN1, TCP1, TDG, TFG, TIMM23, TMED9, EMC4, TRAPPC4, TRIM4, TSPYL1, USO1, XPO1, YWHAG, ZBTB33"
"M13.15" "A32" "Gene transcription" "ALDH3B1, APLP2, ARSD, ATG2A, ATXN7L3, ABHD16A, TRAPPC14, CALCOCO1, CAPZB, CHMP1A, CNOT3, CNPY3, DBNL, DEDD, DGCR2, DNM2, EGLN2, FHOD1, FLII, RAP1GAP2, GDI1, GMIP, GNAI2, GNG5, GRK6, HS1BP3, HSPA1L, IP6K1, KIAA0319L, KHNYN, ZSWIM8, KIAA2013, MAGMAS, MAP1S, MAP3K11, MED12, MGAT1, MGRN1, MID1IP1, MRTFA, MLF2, KMT2B, MYH9, MYO9B, NR1H2, OGFR, PACS1, PKM, PLEKHM1, POLR2A, PPP1R10, PPP1R14B, PTK2B, PTPN6, RAB27A, RAB43, RABAC1, RALY, RBCK1, RENBP, RHBDD2, RNF40, SCYL1, SIPA1, SP2, STK10, SYTL3, TOLLIP, TRIOBP, TRPC4AP, TSC22D4, UBA1, UNC93B1, UPF1, VPS37B, XKR8"
"M13.16" "A35" "Cytokines/chemokines" "ALPK1, AQP9, BASP1, BCL6, BTNL8, CASP4, CASP5, CR1, CREB5, CSF2RB, FBXL13, FFAR2, FPR2, GK, HCAR2, HCAR3, ADGRG3, CXCR2, KCNJ15, KCNJ2, KRT23, LIMK2, LOC641710, LOC642103, LOC642684, LOC652578, LOC728417, LRG1, MAK, MCTP2, MGAM, NAMPT, NCF4, NSUN7, PYGL, RNF149, SLPI, STEAP4, TLR6"
"M13.17" "A28" "Interferon" "ACTA2, ADAR, CASP1, CHMP5, DTX3L, GBP2, HS.489254, IFI16, IFITM1, IL37, IRF9, LGALS9, NOD2, NT5C3A, PARP9, PHF11, PSMB9, RNF213, SAMD9, SHISA5, SP100, SP110, STAT2, TAP1, TDRD7, TMEM140, TRAFD1, TRIM21, UBE2L6, ZC3HAV1, ZNFX1"
"M13.18" "A1" "B cells" "ADCK2, ANKRD46, ANXA6, ARL1, ATF7IP2, B3GALT6, BRIX1, ARL14EP, C19ORF12, C21ORF2, CMSS1, HPF1, TRMT13, CD4, CLDND2, KAT14, CSTF3, DPP7, ENTPD6, EXOSC5, FAF1, FLJ12949, FUT8, GOT1, ADGRG5, MACROH2A2, HNRNPU, ITM2C, KLHDC4, POGLUT1, LOC388564, LOC644422, LOC653479, LRPPRC, LTBP3, MALT1, MIB2, MRPL1, MRPS12, MRPS26, PWWP3A, NAPSA, NPIP, NUDT14, PAAF1, PAOX, PDCL3, PELP1, PEMT, PFAS, PHF14, PHYH, PLEKHA1, PNPLA7, POLR1C, POLRMT, PPIE, PRMT1, QSOX2, RAI1, RPP40, RRAS2, SAAL1, SETBP1, SETMAR, SH3PXD2A, SLC25A43, SUV39H1, TBC1D4, TFB2M, TMEM116, KRT10-AS1, TOP1MT, TRIAP1, TRMT11, TSHZ1, TSPAN3, TULP4, UFM1, WDR36, XPO4, ZBTB9, ZMYM1, ZNF17, ZNF32, ZNF337, ZNF559, ZNF827"
"M13.19" "A30" "Protein phosphorylation" "MARCHF6, AKAP13, ASXL2, BAG4, BANP, BAZ1A, NRDE2, AKIRIN1, CNST, CREBRF, CARS, CCNY, CEP350, COL4A3BP, DCUN1D1, DNAJB14, ENTPD4, EP300, FAM101B, GMCL1, GRB2, HS.440088, HS.516646, HS.573541, IFNAR2, ISG20L2, KCTD12, KRCC1, LRRCC1, MAP3K5, MARK2, MSL3, NFIC, NUFIP2, OSBPL1A, PDPK1, PIK3CG, PLEKHB2, PPTC7, PRPF40A, RAD21, RBM12B, RBM39, RHOQ, RYBP, SESTD1, SGK3, SNTB2, SRPK2, TAOK1, THOC2, TRA2A, TMX4, UGCG, UGGT1, UPF2, USP33, ZBTB43, ZNF12, ZNF148, ZNF281, ZNF641, ZNF654"
"M13.2" "A1" "Gene transcription" "AKR1B1, FAM117B, APEX1, ARL2BP, ATM, ATP6V0E2, BCL11A, BIN1, BTN3A2, MAPKAPK5-AS1, C12ORF57, C1QBP, GATD3, ANXA2R, TMEM243, CCND2, CD2, CD47, CLNS1A, CYFIP2, DDX1, DDX18, DDX47, DENND2D, DKC1, DNMT1, DOCK10, GPR183, EEF1D, EIF3F, EIF3M, EPRS, ESD, KDM2B, FNBP4, FOXO1, FYN, GIMAP6, HLA-DQA1, ID2, ILF2, IMP3, ITK, ITM2A, LEPROTL1, METTL23, LOC439949, LOC728554, LOC730432, LPXN, LSM5, LSM7, MCM3, MDH1, MFNG, MRPL3, MRPS24, MTSS1, MYC, NAP1L1, NCL, NSMCE4A, NUP43, OCIAD2, PABPC4, PCID2, PPIL3, PRKCH, THAP12, RFX5, RPAIN, RPL22, RSL1D1, SET, SHMT2, SLC38A1, SNRPA1, SNRPF, ST6GAL1, STARD7, STAT4, EPB41L4A-AS1, NSA2, TOP2B, TRAF3IP3, TTC3, UBE2N, ZMYM6, ZNF22, ZNF302, ZNHIT3, ZRANB2"
"M13.20" "A29" "Cell cycle" "ANKFY1, ANKRD44, C14ORF82, C15ORF28, MIR3667HG, ABHD18, CES2, MIA2, DKFZP434K191, ERGIC1, FLJ12078, GSDMB, HS.131087, HS.143018, HS.184721, HS.193767, HS.22689, HS.352677, HS.370503, HS.443185, HS.540965, HS.545935, HS.549989, HS.550293, HS.551143, HS.570343, HS.574671, KIAA0492, KIAA1618, LOC158301, LOC284757, LOC402176, LOC440345, LOC650128, LOC650546, LOC653158, LOC728653, CROCCP2, POGZ, PPM1B, PRO0628, RAD51, RBM3, RUNDC2C, SOLH, TFAP2A, ZNF93"
"M13.21" "A2" "Cytotoxic lymphocytes" "AUTS2, CD8A, CTSW, CX3CR1, FASLG, FEZ1, TTC38, GFI1, GNLY, IFNG, KIAA1671, KLRG1, LAG3, MATK, MCOLN2, MLH3, MMP23B, NCALD, PRSS23, PYHIN1, SAMD3, SYTL2, TARP"
"M13.22" "A35" "Neutrophils" "ACSL4, ADAM8, AGTPBP1, APBB1IP, BCL3, BRI3, C1RL, C5AR1, AKIRIN2, CD58, CDA, CHSY1, CPD, CYB5R4, DENND3, DUSP1, EIF4E3, FCGR2A, FCGR3B, FGR, RBM47, FPR1, GRINA, HCK, HSPA1A, IFNAR1, CXCR1, IMPA2, SUSD6, FHIP2A, ITPRIP, LAMP2, LAT2, LITAF, LOC399744, LOC401357, LOC729021, LOC730820, LY96, MTMR3, N4BP1, NCF4, NFE2, NLRP12, NPL, NUMB, CPQ, PPP4R1, CYTH4, RALB, REPS2, RNF13, RNF149, RNF24, S100A11, SDCBP, SEPX1, SLC11A1, SOD2, SORL1, SPI1, SRPK1, STX11, TRIB1, VNN2"
"M13.23" "A3" "TBD" "ACSL5, ADD3, ANKRA2, ANKRD12, ATXN2, BCLAF1, BTAF1, TMEM259, DENND1B, GID8, PPP1R35, CCNG1, CCT6P1, CERK, CHD9, CHKB, CLASP1, CLINT1, CMPK1, LUC7L3, AGAP6, DHX16, EIF2B4, EML3, EWSR1, FAM111A, PIEZO1, GLUD1, HARS2, HDAC2, HSH2D, HTR2A, C2CD5, PPP4R3A, LEMD3, LOC729843, LZTR1, MCM3AP, NECAP2, NGLY1, NISCH, NOL8, NSUN2, ORMDL1, OSBP, PCM1, PITPNM1, PLEKHO1, PNN, POGK, POLR3C, PRPF3, PTGER4, RASA1, SCAMP1, SENP7, SGSM2, SLTM, SMC4, SPECC1L, TIAF1, TMC6, TMEM181, TPR, TRPV2, TSC22D2, TSPAN32, U2AF2, UBP1, FAF2, UTP6, VGLL4, VHL, WDR37, XPC, XPNPEP1, ZBED5, ZC3HAV1, ZNF700"
"M13.24" "A24" "TBD" "ADRM1, ANAPC11, ASMTL, ATP5ME, ATPIF1, ATP5MJ, DDRGK1, SWI5, RPP25L, CBX4, CES2, CHCHD5, CLPTM1L, COMMD4, COMMD9, COQ9, CUEDC2, CYB561D2, DDIT4, DPM3, DUSP28, EIF4E2, EIF6, ERGIC3, MVB12A, RTL8C, FASTKD5, FBXL15, GNPDA1, GPI, GRWD1, HNRNPUL2, INTS12, INTS4, KDELR1, LOC642031, LOC728006, LAMTOR2, MEA1, MFAP1, MFSD5, MRPS11, NDUFA7, STN1, PARL, PHF5A, PIGS, PIGT, PNKP, POLD4, PRKCSH, RANBP3, RNH1, RRAS, RUNX1, SCAND1, SF3A1, SPAG7, SRPRA, SSNA1, STUB1, TFIP11, TRADD, TUBGCP2, UQCRC1, WRAP73, YME1L1, YRDC, ZCCHC17, ZFYVE21"
"M13.25" "A32" "Protein phosphorylation" "ACADVL, ANXA2, AP1S2, ARHGAP15, ATG3, AZIN1, OSER1, MMADHC, C6ORF62, CD46, CHMP1B, CLK1, CREBBP, CRLF3, DCP2, DEGS1, DIP2B, DOCK8, ELF2, ELOVL5, EVI2A, MINDY1, FBXO33, GMPR2, GNA13, HEBP2, HS.296031, HS.348514, HS.561747, HSD17B12, ITGB1, JMJD1C, BICRAL, TRAPPC8, LIMS1, LOC284988, LOC606724, IRAG2, LAMTOR3, MARCHF7, MFSD1, MKNK2, MTPN, MYLIP, KAT6A, NAGK, NMI, NPTN, PAIP2, PAN3, PANK2, TENT2, PAPOLA, PCMT1, PDPK1, PJA2, PPP2R3C, RAB8B, PTBP3, SEPTIN2, SFT2D1, SH3KBP1, SPTLC1, STAG2, STAT5A, TM9SF2, TOR1AIP1, TRIM8, TSC22D3, TSG101, UBQLN2, VPS37C, WAC, WASPIP, XRN1, YPEL5, YWHAH, ZNF217, ZYG11B"
"M13.26" "A37" "Oxidative stress" "AP2A1, ATP6V0C, BMP2K, NPRL3, R3HDM4, CNPPD1, C9ORF78, SVBP, CREG1, EIF2AK1, ELOF1, UBALD1, FOXO4, FURIN, GABARAPL2, GCLC, GPX1, H1-0, HDGF, ISCA1, LYL1, MAF1, MKRN1, NINJ2, NP, PIM1, PINK1, PNPLA2, PRR6, PSMF1, RFESD, RNF123, RNF14, STK33, STOM, SYT15, TERF2IP, TFDP2, XPO7, YPEL3"
